,Administracion,Contaduria Int.,Arquitectura,Disenio,Arte,Historia del Arte,Literatura,Musica,Narrativas Digitales,Biologia,Fisica,Geociencias,Matematicas,Microbiologia,Quimica,Antropologia,Ciencia Politica,Filosofia,Historia,Lenguas y Cultura,Psicologia,Derecho,Economia,Licenciatura,Gobierno y A. Publicos,Ing. Ambiental,Ing. Biomedica,Ing. Civil,Ing. Electrica,Ing. Electronica,Ing. Industrial,Ing. Mecanica,Ing. Quimica,Ing. de Sistemas,Medicina
Administracion,0,30,6,40,1,3,2,4,0,1,0,1,0,0,0,1,3,1,0,0,16,18,68,0,9,0,0,1,0,0,5,0,0,2,0
Contaduria Int.,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Arquitectura,13,0,0,44,28,10,2,0,0,1,2,0,2,0,0,5,3,1,2,2,2,2,2,0,1,2,0,28,0,1,1,0,0,0,0
Disenio,58,0,44,0,36,4,1,0,4,2,0,0,0,0,1,5,0,0,1,1,10,1,1,1,0,0,1,0,0,0,3,1,2,1,0
Arte,1,0,12,29,0,11,3,2,3,0,0,0,0,0,0,4,0,0,0,0,7,1,0,0,2,0,1,1,0,1,0,0,1,0,0
Historia del Arte,2,0,4,2,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0
Literatura,1,0,0,3,7,8,0,0,11,0,0,0,0,0,0,4,2,9,7,10,7,5,2,1,1,0,0,0,0,0,1,1,0,0,0
Musica,9,0,2,0,3,1,1,0,1,1,1,0,1,0,0,0,2,1,0,0,3,2,2,0,1,0,0,0,0,0,1,0,0,3,0
Narrativas Digitales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biologia,0,0,0,0,3,0,0,2,0,0,0,1,0,63,1,2,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0
Fisica,0,0,0,0,1,0,0,4,0,2,0,8,26,0,4,0,0,6,0,0,0,0,4,1,1,0,2,2,1,2,1,10,1,5,0
Geociencias,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,1,1,0,1,1,0,0,0,0,2,7,0,22,0,0,1,1,1,0,0
Matematicas,2,0,0,0,1,0,1,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,1,0,1,3,0,0,8,0
Microbiologia,0,0,0,1,1,0,0,0,0,23,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,1,0,2,0,0
Quimica,1,0,0,0,0,0,2,0,0,2,2,1,0,9,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,7,0,0
Antropologia,0,0,4,1,6,2,2,1,2,5,0,0,0,0,0,0,7,2,6,0,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0
