aerolinea,codigo_vuelo,origen,destino,distancia,salida,duracion,retraso
XE,XE2679,EWR,MYR,550,1110,113,18
XE,XE1,AUS,ONT,1197,755,179,33
XE,XE10,ONT,MCI,1318,1908,178,24
XE,XE103,COS,ONT,789,1108,131,33
XE,XE105,ELP,ONT,670,1151,109,17
XE,XE114,ONT,BOI,660,839,114,-3
XE,XE115,BOI,ONT,660,1216,121,5
XE,XE117,ONT,COS,789,1039,126,81
XE,XE119,TUS,ELP,269,1036,54,40
XE,XE12,ONT,MCI,1318,929,186,18
XE,XE125,BOI,ONT,660,1859,113,30
XE,XE143,COS,ONT,789,1748,127,44
XE,XE15,ONT,SAT,1167,1821,166,24
XE,XE151,FAT,LGB,222,1615,61,17
XE,XE17,SAT,TUL,483,1359,86,10
XE,XE2,ONT,AUS,1197,926,156,30
XE,XE200,RNO,GEG,572,1151,92,38
XE,XE205,GEG,SMF,649,1658,110,6
XE,XE215,COS,SMF,911,1411,168,85
XE,XE216,SAT,SMF,1463,1741,218,81
XE,XE219,SMF,SAT,1463,1949,192,82
XE,XE22,ONT,TUL,1236,1804,167,18
XE,XE221,SMF,ABQ,866,1629,125,70
XE,XE223,SMF,TUL,1419,1829,178,4
XE,XE224,SMF,OKC,1342,937,173,1
XE,XE25,TUS,MCI,1036,1813,145,15
XE,XE251,RNO,LGB,402,806,89,56
XE,XE26,MCI,RDU,904,2127,117,184
XE,XE301,TUS,SMF,752,931,129,-4
XE,XE312,AUS,JAX,954,1958,126,60
XE,XE314,JAX,RDU,408,1929,71,9
XE,XE319,GEG,TUS,1125,1348,162,10
XE,XE32,ONT,OKC,1140,1904,155,16
XE,XE408,SAN,TUL,1236,910,165,13
XE,XE415,SAN,OMA,1313,1707,178,14
XE,XE416,SAN,COS,816,1351,156,67
XE,XE420,COS,SAN,816,1204,130,48
XE,XE423,SAN,GEG,1027,1538,143,-7
XE,XE428,FAT,SAN,314,831,64,88
XE,XE43,GEG,ONT,936,1620,152,13
XE,XE431,SAN,MRY,376,951,65,64
XE,XE432,MRY,SAN,376,1124,68,56
XE,XE445,SAN,BFL,215,1257,51,45
XE,XE446,BFL,SAN,215,1407,51,27
XE,XE508,SAT,MSY,495,1014,72,126
XE,XE511,JAX,MSY,513,706,105,-1
XE,XE522,RDU,MCI,904,748,172,46
XE,XE528,MCI,JAX,956,1508,134,9
XE,XE535,RDU,JAX,408,1501,87,96
XE,XE54,MCI,TUS,1036,1515,159,-11
XE,XE543,MCI,MSY,690,955,123,36
XE,XE560,MSY,MCI,690,1219,128,22
XE,XE600,MSY,AUS,445,1805,89,66
XE,XE619,MSY,SAT,495,1856,96,2
XE,XE622,JAX,MCI,956,1912,167,14
XE,XE72,ONT,OMA,1286,917,170,1
XE,XE7669,SLC,OKC,866,1337,136,3
XE,XE7672,SLC,PHX,507,917,83,1
XE,XE7698,SLC,BOI,291,1342,76,14
XE,XE7700,LAX,OKC,1187,1804,161,15
XE,XE7705,BOI,SLC,291,1534,56,15
XE,XE7720,LAX,LAS,236,1859,76,14
XE,XE7739,SLC,ONT,558,1953,108,28
XE,XE7753,LAX,SEA,954,948,149,-10
XE,XE7756,SMF,LAX,373,758,99,25
XE,XE7757,EUG,LAX,748,1714,137,68
XE,XE7758,LAX,SEA,954,1445,147,39
XE,XE7762,SJC,LAX,308,1200,84,77
XE,XE7763,LAX,RNO,390,1817,86,91
XE,XE7764,SFO,LAX,337,1152,82,11
XE,XE7765,LAX,SEA,954,1901,148,-14
XE,XE7766,SMF,LAX,373,1144,89,18
XE,XE7767,LAX,TUS,451,2214,90,83
XE,XE7768,PHX,LAX,370,1402,75,81
XE,XE7771,RNO,LAX,390,2020,85,100
XE,XE7774,LAX,TUS,451,1409,82,65
XE,XE7776,LAX,SMF,373,1355,77,10
XE,XE7778,LAX,PHX,370,1345,75,7
XE,XE7779,SEA,LAX,954,1741,161,39
XE,XE7781,TUS,LAX,451,1704,101,80
XE,XE7784,SFO,LAX,337,2005,119,81
XE,XE7788,PHX,LAX,370,1932,78,14
XE,XE7790,DEN,LAX,862,1221,167,54
XE,XE7800,LAX,DEN,862,1733,150,96
XE,XE7801,ICT,LAX,1203,1322,193,4
XE,XE7803,LAX,EUG,748,1450,121,42
XE,XE7810,LAX,DEN,862,1118,142,54
XE,XE7811,DEN,LAX,862,2132,192,135
XE,XE7820,LAX,DEN,862,2027,178,63
XE,XE7821,BOI,LAX,674,1525,135,89
XE,XE7822,LAX,BOI,674,1200,113,76
XE,XE7823,GEG,LAX,945,758,208,86
XE,XE7824,LAX,GEG,945,1915,134,-3
XE,XE7825,PDX,LAX,834,2015,220,143
XE,XE7826,LAX,PDX,834,2157,136,84
XE,XE7828,LAX,PDX,834,1737,129,77
XE,XE98,LGB,MRY,283,1045,60,-4
XE,XE2286,EWR,DAY,533,1942,126,8
XE,XE3001,EWR,GSP,594,1548,150,88
XE,XE2148,IAH,SHV,192,1531,55,4
