nombre,genero,edad,pais,anio,evento,medalla
a dijiang,m,24,china,1992,basketball men's basketball,na
a lamusi,m,23,china,2012,judo men's extra-lightweight,na
andreea aanei,f,22,romania,2016,weightlifting women's super-heavyweight,na
jamale (djamel-) aarrass (ahrass-),m,30,france,2012,athletics men's 1500 metres,na
ann kristin aarnes,f,23,norway,1996,football women's football,bronze
abdelhak aatakni,m,24,morocco,2012,boxing men's light-welterweight,na
arvi aavik,m,22,estonia,1992,wrestling men's heavyweight freestyle,na
arvi aavik,m,26,estonia,1996,wrestling men's heavyweight freestyle,na
talaat abada,m,24,egypt,2000,taekwondo men's flyweight,na
antonio abadia beci,m,26,spain,2016,athletics men's 5000 metres,na
m'bairo abakar,m,31,chad,1992,judo men's half-middleweight,na
patimat abakarova,f,21,azerbaijan,2016,taekwondo women's flyweight,bronze
tamara abalde daz,f,19,spain,2008,basketball women's basketball,na
jouan patrice abanda etong,m,22,cameroon,2000,football men's football,gold
salim abanoz,m,26,turkey,1996,judo men's lightweight,na
georgios abaris,m,22,greece,2004,football men's football,na
stephen anthony abas,m,26,united states,2004,wrestling men's featherweight freestyle,silver
tamila rashidovna abasova,f,21,russia,2004,cycling women's sprint,silver
tamila rashidovna abasova,f,21,russia,2004,cycling women's 500 metres time trial,na
ignazio abate,m,21,italy,2008,football men's football,na
georgia abatzidou,f,35,greece,2004,athletics women's marathon,na
carlos rodolfo abaunza balladares,m,18,nicaragua,2004,athletics men's 100 metres,na
ilyas abbadi,m,19,algeria,2012,boxing men's welterweight,na
ilyas abbadi,m,23,algeria,2016,boxing men's middleweight,na
abubakar abbas abbas,m,20,bahrain,2016,athletics men's 400 metres,na
bassim abbas kati al-ogaili,m,22,iraq,2004,football men's football,na
mahmoud abbas,m,22,egypt,2000,cycling men's road race individual,na
nader sufyan abbas,m,28,qatar,2004,weightlifting men's middleweight,na
ruslan abbasov,m,22,azerbaijan,2008,athletics men's 100 metres,na
tran abbasova,f,33,azerbaijan,2000,weightlifting women's featherweight,na
christian abbiati,m,23,italy,2000,football men's football,na
alessandro abbio,m,29,italy,2000,basketball men's basketball,na
salwan jasim abbood abbood,m,24,iraq,2016,weightlifting men's heavyweight,na
mara katherine abbott,f,30,united states,2016,cycling women's road race individual,na
noha abd rabo,f,21,egypt,2008,taekwondo women's heavyweight,na
ali abdalla afringi,m,25,eritrea,2008,athletics men's 5000 metres,na
nia nicole abdallah,f,20,united states,2004,taekwondo women's featherweight,silver
mohamed abdel fattah,m,23,egypt,2000,cycling men's road race individual,na
tamer mohamed abdel hamid,m,20,egypt,1992,football men's football,na
moustafa abdel naser,m,21,libya,1996,athletics men's 400 metres,na
mohamed youssef abdel razik,m,21,egypt,1992,football men's football,na
reskalla mohamed abdel rehim,m,22,egypt,2000,boxing men's light-flyweight,na
ahmed ali abdel samad,m,27,egypt,2000,boxing men's super-heavyweight,na
mahmoud abdelaal,m,24,egypt,2016,boxing men's lightweight,na
mohamed ali abdelaal,m,26,egypt,2016,judo men's half-middleweight,na
ibrahim ramadan ibrahim abdelbaki,m,24,egypt,2012,weightlifting men's middleweight,na
ibrahim ramadan ibrahim abdelbaki,m,28,egypt,2016,weightlifting men's middleweight,na
abdalla abdelgadir el-sheikh,m,21,sudan,2008,athletics men's 1500 metres,na
ragab abdelhay saad abdelrazek abdallah,m,21,egypt,2012,weightlifting men's light-heavyweight,na
ragab abdelhay saad abdelrazek abdallah,m,25,egypt,2016,weightlifting men's middle-heavyweight,na
ayoub abdellaoui,m,23,algeria,2016,football men's football,na
ahmed abdelrahman,m,20,egypt,2016,judo men's extra-lightweight,na
rda abdenouz,m,23,algeria,1992,athletics men's 800 metres,na
bashir abdi,m,27,belgium,2016,athletics men's 5000 metres,na
bashir abdi,m,27,belgium,2016,athletics men's 10000 metres,na
talal omar abdillahi,m,25,djibouti,1992,athletics men's marathon,na
abdihakim abdi abdirahman,m,23,united states,2000,athletics men's 10000 metres,na
abdihakim abdi abdirahman,m,27,united states,2004,athletics men's 10000 metres,na
abdihakim abdi abdirahman,m,31,united states,2008,athletics men's 10000 metres,na
abdihakim abdi abdirahman,m,35,united states,2012,athletics men's marathon,na
ali abdo,m,23,australia,2004,wrestling men's middleweight freestyle,na
ali abdo,m,27,australia,2008,wrestling men's middleweight freestyle,na
yhyacinthe mewoli abdon,m,26,cameroon,2012,boxing men's lightweight,na
hassane abdou,m,23,comoros,1996,athletics men's 400 metres,na
justin abdou,m,29,canada,2000,wrestling men's light-heavyweight freestyle,na
raouf abdou,m,22,egypt,2004,modern pentathlon men's individual,na
mohamed abdou el-souad,m,23,egypt,1992,modern pentathlon men's individual,na
mohamed abdou el-souad,m,23,egypt,1992,modern pentathlon men's team,na
brahim daoud abdoulaye,m,25,chad,1996,athletics men's 200 metres,na
berik abdrakhmanov,m,30,kazakhstan,2016,boxing men's lightweight,na
maizurah abdul rahim,f,17,brunei,2016,athletics women's 200 metres,na
bashir abdullah abdul aziz,m,22,kuwait,2000,football men's football,na
dana abdul razak (hussain-),f,22,iraq,2008,athletics women's 100 metres,na
dana abdul razak (hussain-),f,26,iraq,2012,athletics women's 100 metres,na
patmawati abdul wahid,f,32,indonesia,2004,weightlifting women's lightweight,na
haidar abdul-amir hassan,m,21,iraq,2004,football men's football,na
haidar abdul-razzaq hassan,m,22,iraq,2004,football men's football,na
rukayatu ruky abdulai,f,22,canada,2008,athletics women's long jump,na
ahmed abdulkareem ahmed,m,20,iraq,2012,boxing men's welterweight,na
ahmad hassan abdullah,m,27,qatar,2008,athletics men's 10000 metres,na
atallah abdullah,m,32,iraq,1992,weightlifting men's middle-heavyweight,na
osama abdullah,m,21,kuwait,1992,football men's football,na
abdulqdir abdullayev,m,28,azerbaijan,2016,boxing men's heavyweight,na
arif yadulla abdullayev,m,27,azerbaijan,1996,wrestling men's bantamweight freestyle,na
arif yadulla abdullayev,m,32,azerbaijan,2000,wrestling men's featherweight freestyle,na
mukhammad kadyr abdullayev,m,22,uzbekistan,1996,boxing men's lightweight,na
mukhammad kadyr abdullayev,m,26,uzbekistan,2000,boxing men's light-welterweight,gold
namiq yadulla abdullayev,m,25,azerbaijan,1996,wrestling men's flyweight freestyle,silver
namiq yadulla abdullayev,m,29,azerbaijan,2000,wrestling men's bantamweight freestyle,gold
namiq yadulla abdullayev,m,33,azerbaijan,2004,wrestling men's featherweight freestyle,na
laye abdullayeva,f,21,azerbaijan,2012,athletics women's 5000 metres,na
abir abdulrahman khalil mahmoud khalil,f,16,egypt,2008,weightlifting women's light-heavyweight,na
abir abdulrahman khalil mahmoud khalil,f,20,egypt,2012,weightlifting women's heavyweight,na
amer abdulrahman abdallah hussain al-hammadi,m,23,united arab emirates,2012,football men's football,na
